epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.15,1.24946,1.72159,1.35981,0.67478,0.69639,0.74258,0.49638,1.16342,0.56197,1.3477,0.00332913,0.00332913,0.00332913
2,282.343,1.12538,0.76248,1.2662,0.80806,0.82332,0.88649,0.60211,1.11154,0.50987,1.32274,0.00664927,0.00664927,0.00664927
3,421.431,1.14531,0.70811,1.29002,0.87545,0.7592,0.87479,0.59686,1.09751,0.51373,1.32762,0.00995621,0.00995621,0.00995621
4,560.827,1.14079,0.67505,1.2857,0.83807,0.80794,0.90725,0.62161,1.10565,0.4919,1.32153,0.0099406,0.0099406,0.0099406
5,700.198,1.11838,0.61468,1.27332,0.89967,0.81412,0.90393,0.63829,1.06837,0.44564,1.28759,0.0099208,0.0099208,0.0099208
6,839.146,1.0954,0.57682,1.25606,0.80299,0.85128,0.90677,0.61248,1.1368,0.45304,1.32374,0.009901,0.009901,0.009901
7,978.593,1.08181,0.54954,1.24637,0.87451,0.85087,0.90911,0.62983,1.09008,0.43944,1.29493,0.0098812,0.0098812,0.0098812
8,1117.84,1.06695,0.52838,1.23444,0.85608,0.89951,0.93313,0.64298,1.07408,0.42452,1.28797,0.0098614,0.0098614,0.0098614
9,1257.33,1.05694,0.51286,1.2291,0.87129,0.90683,0.93749,0.65134,1.06525,0.40445,1.27518,0.0098416,0.0098416,0.0098416
10,1396.52,1.05089,0.49848,1.22464,0.89848,0.86503,0.94875,0.6622,1.0633,0.40567,1.27473,0.0098218,0.0098218,0.0098218
11,1535.7,1.04108,0.49442,1.21864,0.85812,0.90311,0.93245,0.6622,1.05139,0.40162,1.26959,0.009802,0.009802,0.009802
12,1674.81,1.03106,0.4803,1.21083,0.85778,0.90582,0.93948,0.67403,1.04588,0.38771,1.2627,0.0097822,0.0097822,0.0097822
13,1814.04,1.02049,0.47507,1.20631,0.88356,0.92698,0.9681,0.68042,1.06704,0.38472,1.2772,0.0097624,0.0097624,0.0097624
14,1953.25,1.01667,0.47122,1.20011,0.84136,0.91905,0.96468,0.68742,1.05636,0.39017,1.26528,0.0097426,0.0097426,0.0097426
15,2092.76,1.0074,0.4613,1.19724,0.89932,0.86099,0.95793,0.68083,1.03541,0.37666,1.25759,0.0097228,0.0097228,0.0097228
16,2232.16,1.00497,0.45434,1.19471,0.87893,0.88911,0.93936,0.66908,1.0555,0.38305,1.26942,0.009703,0.009703,0.009703
17,2371.22,0.99778,0.45201,1.19067,0.8307,0.95392,0.94646,0.67188,1.05806,0.3706,1.27011,0.0096832,0.0096832,0.0096832
18,2510.54,0.98556,0.44084,1.18347,0.8531,0.91734,0.93993,0.67972,1.04186,0.37059,1.26433,0.0096634,0.0096634,0.0096634
19,2649.8,0.9823,0.43996,1.18599,0.88313,0.91718,0.95729,0.67891,1.05455,0.36762,1.27173,0.0096436,0.0096436,0.0096436
20,2788.83,0.97308,0.43196,1.17439,0.85749,0.92355,0.94573,0.66849,1.05382,0.36758,1.27446,0.0096238,0.0096238,0.0096238
21,2928.54,0.97202,0.43107,1.17583,0.91247,0.89969,0.95086,0.68204,1.05183,0.36355,1.27138,0.009604,0.009604,0.009604
22,3067.84,0.96312,0.42689,1.16597,0.88352,0.91266,0.96651,0.68161,1.04871,0.3603,1.26496,0.0095842,0.0095842,0.0095842
23,3207.17,0.95824,0.42231,1.15868,0.90688,0.8821,0.93999,0.67153,1.05764,0.36134,1.27123,0.0095644,0.0095644,0.0095644
24,3346.38,0.9524,0.42287,1.16049,0.91217,0.90374,0.9507,0.67271,1.0463,0.35939,1.26698,0.0095446,0.0095446,0.0095446
